SIGNAL_ID,LOCATION_NAME,SIGNAL_TYPE,SIGNAL_STATUS,ATD_LOCATION_ID,COA_INTERSECTION_ID,COMM_PLAN,CONTROL,COUNCIL_DISTRICT,PRIMARY_ST,PRIMARY_ST_AKA,CROSS_ST,CROSS_ST_AKA,CROSS_ST_SEGMENT_ID,LANDMARK,IP_CONTROL,IP_SWITCH,PRIMARY_SIGNAL,JURISDICTION_LABEL,PRIMARY_ST_SEGMENT_ID,SIGNAL_ENG_AREA,SWITCH_COMM,TRAFFIC_ENG_AREA,TURN_ON_DATE,MODIFIED_DATE,LOCATION,LATITUDE,LONGITUDE,CROSS_ST_BLOCK,PRIMARY_ST_BLOCK,SIGNAL_PM_MAX_FISCAL_YEAR,PEDESTRIAN_SIGNAL_TYPE,SECONDARY_SIGNALS,SOURCE_DB_ID,IP_COMM_STATUS,COMM_STATUS_DATETIME_UTC,OWNER,DETECTION_STATUS,DETECTION_STATUS_DATE,CONSTRUCTION_NOTE,CONSTRUCTION_NOTE_DATE,LOCATION_LATITUDE,LOCATION_LONGITUDE
953,5TH ST / RIO GRANDE ST,TRAFFIC,TURNED_ON,LOC16-004655,5155874,,PRIMARY,9,5TH ST,,RIO GRANDE ST,,2018665,,0,0,,AUSTIN FULL PURPOSE,2018666,CENTRAL,None,,,09/20/2016 07:00:00 PM +0000,"(30.2689972, -97.7498703)",30.2689972,-97.7498703,500,700,2016,UNKNOWN,,5817c0cae052e0422be6cbc0,ONLINE,05/12/2017 06:59:00 PM +0000,COA,NO DETECTION,,,,30.2689972,-97.7498703
4002,GUADALUPE ST / 31ST ST,PHB,TURNED_ON,LOC16-005000,5157110,,PRIMARY,9,GUADALUPE ST,,31ST ST,,2016776,,0,0,,AUSTIN FULL PURPOSE,2016775,CENTRAL,PHB,,02/07/2010,09/20/2016 07:00:00 PM +0000,"(30.2978306, -97.7412338)",30.2978306,-97.7412338,601,3100,,,,5817c0e1e052e0422be6cc90,OFFLINE,,COA,NO DETECTION,,,,30.2978306,-97.7412338
1013,600 BLK E 15TH ST (East of Red River St),TRAFFIC,TURNED_ON,LOC16-004955,,,PRIMARY,1,15TH ST,,,,,East of Red River St,1,1,,AUSTIN FULL PURPOSE,3270881,CENTRAL,Both,,,09/20/2016 07:00:00 PM +0000,"(30.2753487, -97.733902)",30.2753487,-97.733902,,600,,UNKNOWN,225:  15TH ST / RED RIVER ST,5817c0dfe052e0422be6cc77,OFFLINE,,COA,NO DETECTION,,,,30.2753487,-97.733902
505,IH 35 SVRD / BEN WHITE BLVD SVRD,TRAFFIC,TURNED_ON,LOC16-004455,5155796,,PRIMARY,3,IH 35 SVRD,,BEN WHITE BLVD SVRD,,3212439,,0,0,,AUSTIN FULL PURPOSE,2023130,SOUTH,Both,,01/18/2006,09/20/2016 07:00:00 PM +0000,"(30.21702, -97.7518005)",30.21702,-97.7518005,1300,4052,2017,UNKNOWN,905: IH 35 SVRD / BEN WHITE BLVD SVRD,5817c0c1e052e0422be6cb52,ONLINE,05/12/2017 06:52:00 PM +0000,TxDOT,BROKEN,07/05/2017 07:00:00 PM +0000,,,30.21702,-97.7518005
903,51ST ST / GUADALUPE ST,TRAFFIC,TURNED_ON,LOC16-004450,5158890,,PRIMARY,9,51ST ST,,GUADALUPE ST,,2015426,,1,1,,AUSTIN FULL PURPOSE,2015473,CENTRAL,Both,,03/13/1985,09/20/2016 07:00:00 PM +0000,"(30.3176708, -97.7284317)",30.3176708,-97.7284317,5100,300,2015,UNKNOWN,,5817c0c1e052e0422be6cb50,ONLINE,05/12/2017 06:59:00 PM +0000,COA,OK,06/25/2017 07:00:00 PM +0000,,,30.3176708,-97.7284317
742,COLORADO ST / 3RD ST,TRAFFIC,TURNED_ON,LOC16-003660,5156624,,PRIMARY,9,COLORADO ST,,3RD ST,,2018921,,1,1,,AUSTIN FULL PURPOSE,2018920,CENTRAL,Both,,08/03/2000,09/20/2016 07:00:00 PM +0000,"(30.2656021, -97.7451553)",30.2656021,-97.7451553,201,300,,UNKNOWN,,5817c0a2e052e0422be6c9c4,ONLINE,05/12/2017 06:56:00 PM +0000,COA,OK,06/22/2017 07:00:00 PM +0000,,,30.2656021,-97.7451553
832,CAPITAL OF TEXAS HWY / WESTLAKE DR,TRAFFIC,TURNED_ON,LOC16-004095,5149583,,PRIMARY,10,CAPITAL OF TEXAS HWY,,WESTLAKE DR,,2040329,,1,1,,AUSTIN FULL PURPOSE,2013511,NORTH,Both,,,09/20/2016 07:00:00 PM +0000,"(30.3352509, -97.8062515)",30.3352509,-97.8062515,4300,3700,2015,NONE,,5817c0afe052e0422be6ca92,ONLINE,05/12/2017 06:57:00 PM +0000,COA,OK,06/22/2017 07:00:00 PM +0000,,,30.3352509,-97.8062515
785,FM 969 RD / JOHNNY MORRIS RD,TRAFFIC,TURNED_ON,LOC16-003860,5166219,,PRIMARY,1,FM 969 RD,,JOHNNY MORRIS RD,,2040939,,1,1,,AUSTIN FULL PURPOSE,2040962,CENTRAL,Both,,08/27/2007,09/20/2016 07:00:00 PM +0000,"(30.2827682, -97.653183)",30.2827682,-97.653183,5100,7000,,NONE,,5817c0a9e052e0422be6ca26,ONLINE,05/12/2017 06:57:00 PM +0000,COA,OK,06/22/2017 07:00:00 PM +0000,,,30.2827682,-97.653183
585,BARBARA JORDAN BLVD / LANCASTER DR,TRAFFIC,TURNED_ON,LOC16-002870,5161212,,PRIMARY,9,BARBARA JORDAN BLVD,,LANCASTER DR,,2046253,,0,0,,AUSTIN FULL PURPOSE,3316370,CENTRAL,None,,12/17/2008,09/20/2016 07:00:00 PM +0000,"(30.3059559, -97.707489)",30.3059559,-97.707489,5000,1301,2017,UNKNOWN,,5817c095e052e0422be6c877,ONLINE,05/12/2017 06:53:00 PM +0000,COA,OK,06/15/2017 07:00:00 PM +0000,,,30.3059559,-97.707489
583,BEN WHITE BLVD SVRD / BURLESON RD,TRAFFIC,TURNED_ON,LOC16-002860,5158602,,PRIMARY,3,BEN WHITE BLVD SVRD,,BURLESON RD,,3212273,,0,0,,AUSTIN FULL PURPOSE,3279013,SOUTH,Both,,,09/20/2016 07:00:00 PM +0000,"(30.2153988, -97.733429)",30.2153988,-97.733429,4400,4400,2017,UNKNOWN,584:  BURLESON RD / BEN WHITE BLVD SVRD,5817c095e052e0422be6c872,ONLINE,05/12/2017 06:53:00 PM +0000,TxDOT,BROKEN,06/18/2017 07:00:00 PM +0000,,,30.2153988,-97.733429
